group_id,group_name,post_id,comment_text
-50536362,hodimvmore,542269,"[id20528969|Александр], вот такие еще чота базарят на судомехов, а поведение как у вербованных по объявлению мобров 🤣🤣🤣"
-50536362,hodimvmore,542269,"Что за тема ноги закидывать на приборку ,прикиньте я повар ,сделаю селфи в кроксах на разделочной  доске 🤷‍♂️"
-50536362,hodimvmore,542269,"Хороший понт дороже золота, и тут поднимается Мастер😁"
-50536362,hodimvmore,542269,"Ништяк,сам так делаю👍👍👍"
-50536362,hodimvmore,542265,😂☝☝
-50536362,hodimvmore,542265,"Там было написано: впереди бак, сзади корма"
-50536362,hodimvmore,542265,Давайте что-нибудь смешное! Это уже было сто раз.
-50536362,hodimvmore,542265,"Вообще то, совсем на оборот, «левый-красный»! 
Длина волны красного цвета  самая короткая и красный запоминается легче, так устроен человек 🧬
P.s. Проветрите 🪟 🤣"
-50536362,hodimvmore,542265,"Нам учитель в мореходке говорил, женский половой орган ПЗ, правый зелёный"
-50536362,hodimvmore,542263,Не повар а Кондей))
-50536362,hodimvmore,542263,"[id771522135|罗马人], не кондей, а сплит-система 😑"
-50536362,hodimvmore,542263,"Не мостик, а чердак."
-50536362,hodimvmore,542263,"[id43024979|Андрей], любезный вы Мастеру эту информацию донесите,и лететь с мостика будете с ускорением."
-50536362,hodimvmore,542263,"[id43024979|Андрей], чердак скорей всего у Вас и он течёт…"
-50536362,hodimvmore,542263,"[id544863508|Хозяин], у вас чердак у них пердак)))🤷🏿‍♂"
-50536362,hodimvmore,542263,"[id67041858|Василий], ну только если вы сам капитан, или имеете непосредственный контакт с мостиком, а для машинеров вы ЧЕРДАК, как и для механиков МКО - подвал"
-50536362,hodimvmore,542263,"Не машина, а БЧ-5"
-50536362,hodimvmore,542263,"[id89019574|Никита], не БЧ-5, а Engine room."
-50536362,hodimvmore,542263,"[id76892961|Ergey], Боевая часть (БЧ) – это понятие, существующее в основах корабельной организации, наряду со службой, которое представляет собой основное организационное подразделение экипажа кораблей советского и российского Военно-Морского Флота, в ведении которого сосредоточены боевые и технические средства по определенному виду вооружения или оборудования, предназначенные для выполнения определенных задач в бою или повседневной жизни.

На крупных кораблях может быть до 7 боевых частей, которые, в свою очередь, подразделяются на дивизионы, группы, батареи, команды и т.д., например:

·БЧ-1 – штурманская;

·БЧ-2 - ракетная, или ракетно-артиллерийская, или артиллерийская;

·БЧ-3 – минно-торпедная;

·БЧ-4 – связи;

·БЧ-5 – электромеханическая, механическая (электромеханики, механики, мотористы);

·БЧ-6 – авиационная;

·БЧ-7 – радиотехническая (управления)."
-50536362,hodimvmore,542263,"[id89019574|Никита], не надо умничать. Это знает любой, кто закончил мореходное училище. А Вы , хоть знаете, как называется тип судна на фото?"
-50536362,hodimvmore,542263,"[id89019574|Никита], очень порадовала бч-6."
-50536362,hodimvmore,542263,"[id76892961|Ergey], я не сумничал, а так сказать поддержал юмор😁
А Engine Room любой студент знает. Так что так."
-50536362,hodimvmore,542263,"[id89019574|Никита], а бэласт тритмэнт систем, тоже любой студент знает ? Или экдис дженерик курс?"
-50536362,hodimvmore,542263,"[id76892961|Ergey], вы прочитайте пост в группе для начала (с самого верха) к чему он был, а потом умничайте. Я выразил как обозначается МО (ER), на военном флоте. Что вы тут пытаетесь выразить мне непонятно или как-то задеть у вас есть желание?"
